Course,Campus,Term,Section,Invited,Responded,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Q9 mean,Q10 mean,Q11 mean,Median1,Median2,Median3,Median4,Median5,Median6,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6,A2,C2,D2,D4,E1,E2,E3,Comment for Q7,Comment for Q8
Leadership Skills,UTSC,Summer_2015,LEC02,36,9,3,3.3,3.9,2.9,3,2.8,2.9,3.5,2.6,2.5,3,4,2,2.5,2.5,2,2,5,2,2,"2,",1.5,1.3,1.1,1.4,1.3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'The class was well taught however research instructions were difficult to follow due to low research experience.8. Please comment on any assistance that was available to support your learning in thiscourse.',b'CommentUTSC Writing Centre and Prof - drRNone.'
Human Resources,UTSC,Summer_2018,LEC02,60,14,2.8,2.8,2.8,3.4,3.2,2.8,3.1,3.7,2.7,3,3,3,4,3,3,3,3,"2,4",4,3,3,1.2,1.2,1.3,1.2,1,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""in class discussion and material prepared students well for short answer component of examinations, not so muchm/cExcellentDifficult to understand content, taught at extremely fast paced, content not at all related to the exams which made itdifficult to get high marks. I don't understand the purpose of Weboption if participation in class is required.Too much class time spent on completing journals.Concepts and material is not properly explained by the professor.I think the professor was not able to create a good 4learning environment using the flipped classroom.I think her slides need to be more to the point and with less information. I also believe she should improve hercommunication skills.Instructor was disorganized during lectures with no clear focus, tests largely do not reflect the material learned in class.Micro manages to a point where there\xe2\x80\x99s zero room for intellectual freedom. Overall an extremely poor experience anddepleted my interest in the subject.I would prefer if the class were given the correct answers to the journal questions. I also found myself not able to payattention to the lecture because I am doing the journal. I would prefer if there was time to listen to the lecture in the firsthalf and maybe do the journals in the second half of class.I like that the first half of the class is where we learn the theory and the second half of the class is where we apply it.8. Please comment on any assistance that was available to support your learning in thiscourse.""","b'Commentsprof. radhakrishnan responds quickly to emails and is extremely reasonableExcellentProfessor was very unwilling to help. TA not mentioned in course outline, no help from TAs at all.Professor office hours and Teaching assistantsHuman Resource Management Human Resources-S-LEC02-Phanikiran Radhakrishnan-8/7/20184/16   '"
Leadership Skills,UTSC,Summer2013,LEC01,0,0,2.8,2.8,2.8,3.4,3.2,2.8,3.1,3.7,2.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'   Leadership Skills Leadership Skills-LEC01-Phanikiran Radhakrishnan-17/06/2013 12:00:00 AM 1/1',b''
Organizational Behaviour,UTSC,Fall_2018,LEC03,57,27,3.1,3.3,3.7,3.4,3.6,3.1,3.4,3.3,3.4,3,4,4,4,4,3,4,4,4,4,4,3,1.1,1.2,1.1,1.2,0.9,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'I did not believe the lectures were helpful in improving my understanding of course concepts. The textbook and readings gave abetter explanation of the ideas. The midterm was fair, however, the professor changed the weighting of the mcq and short answerquestions twice after the midterm was completed. I thought this was something that should be decided beforehand.\xe2\x80\x93 Course PPT were copied from the textbook but were not rephrased. This made it harder to refer back and understand the coursecontent independently when self\xe2\x80\x93studying\xe2\x80\x93 Individual assignment was not clear/ instructions were not linearThe Professor brought a lot of interesting idea. However, we need to make appointment to see her in her scheduled office hour. It iskind of inconvenient. Hope professor provide more opportunities for us to approach her. And we have been not provided a standard answer for the midterm. Thus, we can\xe2\x80\x99t directly compare the answer and improve it.No commentThe content of the course was interesting and very useful to real world purposes. The exams were designed in a way to rewardthose who attend lectures, pay attention and put a lot of time studying. The only issue I had in the course was the criteria that theTA\'s use to mark the short answer questions on the exams. They use a very unfair and harsh marking system that doesn\'t causesstudents\' marks to not reflect their understanding of the course material.Engaging class environment, activities conducive to learning, participation was highly encouraged.The overall quality of this course was very good because she provides some interesting class activities for us in order to learn thematerials. I also like the in\xe2\x80\x93class journal that we get at the end of each class. It actually helps us understand better on the materialsmore. She creates a friendly environment in class and encouraged me to discuss to peers in the class.The instructor is excellent on every aspects of teaching. She is good at engaging students and creating an active atmosphere inclass, this quality is important for a teacher. Besides, the only improvement needed is about the short answer questions inmidterm. Almost 80% of them focus on one case that we talk in class early. It makes the test ""narrow"" but not ""comprehensive""since students who only focus on studying this case but not other chapter can get a high score.My suggestion is to allocate the weight of each chapter evenly to the short answer questions.Teaching was not textbook based, but instead are full of real\xe2\x80\x93life case studies, which provides more interactions between us. Also itmakes this boring course more interestingthe instructor was effective in providing examples as enhancement to my understanding. real life situations after every topic helpedme to develop a realistic perspective and put the topic into context instead of just a theory. each week had a journal componentreflecting on the content which I thought was helpful however it often had a deadline shortly after class which i struggled with as idid not always have access to a laptop or computer.The lectures were not very clear, I had to rely on the textbook for my learning8. Please comment on any assistance that was available to support your learning in this course.Comments'",b'BookTest bankSlidesOffice hourNo commentThe textbook'
Leadership Skills,UTSC,Summer_2019,LEC01,40,8,4.1,4.1,3.9,3.6,3.7,3.6,3.4,3.7,3.6,4,4,4,4,4,3,5,4,5,4,4,3,0.9,0.4,1.3,1,1,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""I am personally a quiet reader and I prefer a couple minutes of pure silence when I am asked to read during the class time.However, the prof keeps on talking and trying to give even more instructions while she asks us to read. This makes me cannotfocus on any one of the tasks and so does my teammates. We all had the same feeling when we had a hard time focusing onreading while she is giving instructions. Would prefer some quiet reading time during the class. Also she gives read confusing instructions on projects and activities. Appreciated her effort on making a 100 pages slides but westill don't get it after reading it and it is pretty time consuming to go throgh all of them. Would prefer a simple rule break for allassignments and simpler and more clear instructions.Love the course!I think it was great. However, I found some parts a bit vague and hard to grasp at first.She was enthusiastic about this class and its content making it more interesting to learn about8. Please comment on any assistance that was available to support your learning in this course.Comments""",b'More instructions on exam questions'
Organizational Behaviour,UTSC,Fall_2019,LEC03,60,19,2.6,2.4,2.8,2.5,2.6,2.1,2.6,3.4,2.3,3,2,3,2,2,2,1,1,"1,4","1,2,3","2,4",1,1.5,1.2,1.4,1.2,1.2,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The professor tried to provide a more engaging environment by providing opportunities for group discussions and group work.However, she did not explain some concepts clearly and gave simple explanations that were confusing at times.Poor. It is hard to understand. Some of the lecture notes are not in a logical way.the professor was unable to give clear instructions for assignments, on a few occasions would not answer questions that wereasked during the lectures, would not defend claims that were in the course content when challenged on it.Course material is exceptionally pointless. Literally nothing to do with OB and guidelines for assignments are extremely unclearand poorly writtenIncompetent and doesn't know what she is doing.Good.The instructor was trying to do some innovations on the classes\xcd\xbe however, it is not very effective to students as we seldom knewwhat she is actually going to do.understandable and a lot of powerpoint slides to read throughFrankly speaking, both the course contents and the teach style of the professor are conducted professionally.However, 1. the PPT is way too long the professor was not able to follow the PPT structure, the course contents never matched the material inthe PPT\xcd\xbe2. there are often confusion regarding the assignment, the in\xe2\x80\x93class instruction doesn't match with the handout explanation. 3. midterm paper is not returned for a review. A brief explanation on line is not of valuable help at all.4. I will never deny that Professor R. is such a great professional lady with solid knowledge in this filed, but i don't think the studentis able to digest this much information without well\xe2\x80\x93planned layout.the quality of the instruction is totally poor because we hardly learn exam contents in the lecture class and all of the exam coverageare read by students themselves. Even though the professor had a class teaching one of exam\xe2\x80\x93covered chapters after midtermtest.I have bad experience8. Please comment on any assistance that was available to support your learning in this course.Comments""","b""There were powerpoints and textbook notes providedShe would spend time explaining the assignments during class but her explanations made the assignments even morecomplicated because it would be completely different from what the question is even asking.There literally wasn't any help.She provides detailed feedbacks for our short answer questions as well as for the writing assignments.N/AReading book is the most important point."""
Organizational Behaviour,UTSC,Fall_2019,LEC01,60,25,2.3,2.3,2.3,2.3,2.2,2,2,3.4,2,2,2,2,2,2,2,"1,3",1,1,1,1,1,1.2,1.2,1.4,1.3,1.2,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The instructions for the assignment rubrics are extremely ambiguous, confusing and always contradicts with the things that aretaught in class.Bad bad. The instruction she gave was really unclear and confusing.Im going to be honest, the professor was completely useless in terms of learning the course material. She should not even bequalified to teach ANY course ever again. I understand that she is getting paid handsomely based on her academic research andbackground, but she was not able to translate that knowledge effectively in class. I will never take another course with her again.She is definitely the worst professor in terms of learning and helping the class understand the material. For example, we wereassigned a group project. We had previously skyped her multiple times asking her and confirming the information we needed topresent. During the call, she told us that the info is correct and how we should present it effectively. We literally presented what shehad told us to do and for some reason, she has the guts to tell us that our group did not provide the correct graphs and data.the overall quality of the instruction in this course is great. The instruction with detailed explanationThe course was well taught and the professor was very helpful. She helped us with any problems and the exam was fairly testedand I would take another course with this professor.Professor R did a fairly good job in explaining concepts and making the class interactive so that we would learn from the exercisesdone in class. She incorporated many activities that made it more interesting than a plain 2 hour lecture. She could be a little moreclear when explaining what is expected of us in assignments and exams though. It was difficult to understand exactly what shewanted in our assignment and it led to confusion amongst many students. Overall, she showed great enthusiasm in the courseand tried to make the class catered towards ensuring the students found the content stimulating so I appreciate that.It was okConcepts were very similar and made it unable do differentiate ideas and terms. Even after asking the professor for a betterexplanation, answers were vague. I am not the only person who thinks this. My entire section of 10 students was usually veryconfused.I felt my time was wasted for this course, I can't understand the meaning of this course and no interest in it at all. Every week's classwe have to do a journal to get a participation mark, that's a lot of work to do. Sometimes it is a group participation work, it reallysucks cuz one of my group members never did the work, she only hopes others to do it. I hate this course, it makes me stressful,especially in the final group work when you meet lazy ppl, you have to do a lot of extra work. And you still can't find the meaning ofthis course.This prof introduced several times that she graduated from Dr. at Illinois University. She played her speech video which made in2002, Idk why she always emphasis her honor to students in class. It seemed that she is addicted to glory......the instruction in this class was extremely poor. Dr. R is a fantastic person who is very kind and passionate about her field of study,although the teaching in this class was BAD. Every class the instruction for in\xe2\x80\x93class journals very unclear, every class member ofthe class would have to clear multiple times in order to figure out what was needed to be done and the objective remained unclearmost of the time. the final project was a mess, the directions were so unclear and she gave a lecture to better clarify the final projectbut it made the problem worse even more confusing. in my opinion, we learned very little during class time, class time was spentplaying games to highlight the lecture objective rather than actually going over the terms and definitions in greater depth. Dr. R has agreat depth of knowledge in her field but struggles to convey her message in an effective way.Manage People & Grps in Orgs Organizational Behaviour-F-LEC01-Phanikiran Radhakrishnan-12/2/2019 4/168. Please comment on any assistance that was available to support your learning in this course.Comments""","b""She was NOT able to translate her knowledge and competence with the class. Every week we play games in class and I gainedabsolutely no knowledge from it. At this point, I should just get a refund for this course as this course is basically self\xe2\x80\x93taught fromthe textbook.The journal after each lecture is a great way to summarize the material in the lectureThe Professor was helpful and responded quickly.TA's were very slow in getting marks back and Dr. R had to remind them to get the marks back to us since they were well beyond thedeadline that she had originally set.office hoursIn\xe2\x80\x93class questions and office hours. Professor was occasionally available for video calls.This course has no tut, and if you wanna ask questions to the prof, you have to make an appointment to this prof's office hour. Shegoes home earlier than students lol...The professor made herself available.web option, but that did not really helpshe responds to emails very well"""
Organizational Behaviour,UTSC,Fall_2017,LEC01,59,26,2.6,2.9,3,2.6,2.7,2.4,2.7,3.2,2.4,3,3,3,2,3,2,3,3,"3,4",2,3,2,1.2,1.1,1.4,1.2,1.2,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The overall quality of the course is not so good as I expected. The professor is trying to transfer the teachingresponsibilities to the students. If she cannot do all the chapters in one course, then she should try to select sometopics rather than just letting the student talking about it.I didn't find the content of the course very interesting, useful or relevant to my knowledge as a management studentPhanikiran Radhakrishnan had created a learning environment which encouraged participation and interactions withother, which in turn helped us learn and understand course concepts. She also constantly gave highly relevantexamples to further our understanding of these concepts. Overall, instruction of the course was very well done.good in class journals help to recap what you are learning and connect with other students. More classes shouldincorporate this.The professor explained concepts very clearly and and provided various assignments and tasks that helped provide aclear understanding of the material. I enjoyed her class.The instructor was poor in her teaching methods due to the following:1) Did not articulate subjects well2) Did not create a productive learning environment3) Learned more reading in the textbook than her 2 hour lecturesIt is clear she is passionate about OB and she is enthusiastic during class. Although, I feel she makes us do too manyjournal questions especially during the second class. The journal questions do not really help us understand thematerial as they are usually written before she explains the topic. It is more a precursor to the material and more forparticipation rather than learning.The assignments were useless in relation to the course material. The prof didn't teach us anything relevant to theassignments that we had to complete. Much of the course incorporated STATS material instead of qualitative info aboutorganizational behavior.I have heard and know that the Professor is an astounded researcher. This being said, I was disappointed in theinstruction of the course and felt it was below UofT standards. The professor would breeze over the lecture slides neverstopping to showcase an important concept. The marking scheme was very subjective and getting an A was withoutreach even if you followed all instructions. The professor would sometimes post homework due the night before andwould expect you to come with it to class. I would not recommend taking this course with this professor.boring, class journals are useless8. Please comment on any assistance that was available to support your learning in thiscourse.""","b'CommentsThe professor relies too much on the cyber/virtual reality. No comment.Getting help from either the professor or TAs was quick and easy. I appreciated the quickness of responses to emails Ihad sent,Both the professor and TA provided plenty of office hours, and also made their emails available for any furtherquestions.Office hours were alright.There were no TAs, but the prof was somewhat helpful.Feedback was very vague on assignment handback. Have not received group project marks which is disappointing andalso concerning that the marks were not handed back before the course evaluations were due even though we weretold we would receive them on Monday.Manage People & Grps in Orgs Organizational Behaviour-F-LEC01-Phanikiran Radhakrishnan-12/4/20174/15   '"
Leadership Skills,UTSC,Summer_2019,LEC02,40,11,3.8,3.5,4.1,3.6,3.6,3.5,3.8,3.3,3.6,4,4,4,4,4,4,4,"3,4","4,5",3,3,"2,4,5",1,1.1,0.8,1.2,1.2,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'This course is very unique and interactive because of the role play activities that we participate in every class. Having a role playingafter the lecture content is a great way to learn about the concepts and really understand it.Dr. R is able to connect our learnings with our everyday lives and that is helpful for remembering the course content.The delivery was sometimes not clear enough since the classroom was in a seminar based room.Sometimes, it was hard to decide whether I should take notes or not.Some role plays weren\xe2\x80\x99t very clear in what we are supposed to do.Great prof, cares about the students and makes the class very interesting8. Please comment on any assistance that was available to support your learning in this course.Comments'","b'Professor Office Hours, TAs, Quercus, WebOptionN/AThe prof was always available for helpHomework and assigned reading were helpfulN/A'"
Negotiation Skills,UTSC,Fall_2019,LEC30,26,10,3.8,4,4.3,3.1,3.1,3.5,3.8,2.9,3.8,4,4,4.5,3.5,3,3.5,4,4,5,4,"3,4","3,4",1.2,0.9,0.9,1.4,1.2,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Professor Radhakrishnan's approach to students preparing for and reflecting on negotiation role plays in a way that is coordinatedwith course concepts was one of the best models for learning that I have seen when compared to my other BBA courses.I think the grading criteria for this course is not fair at all. I like the course because it has a lot to explore and run. But the midtermand final exams which are worth 30% and 40% each are only 30 and 35 mark exams which makes it really difficult to assess theimportance of each questions and how much focus should be put in each questions. Also, once the exam is graded \xe2\x80\x93 studentsreceived grade like 1.723/2 which doesn't really seem like a grade but rather arbitrary numerical numbers. I think if the gradingsystem could be set differently \xe2\x80\x93 this course will be much better than what it is.Unclear instructions on most assignments/exams ... deducted marks from lack of application to the readings when we were notcommunicated to apply the readings in class or in instructions for most of the evaluations.Cases helped to give real life examples of certain negotiation situations we might encounter in the future.While the idea of teaching negotiations with hands\xe2\x80\x93on role plays is certainly the best way, it would have been helpful to providesome concepts for a structured approach earlier on, as the role plays are otherwise mostly unstructured and inefficient trial anderror. And as the cases differ too much in situations and necessary techniques one could not even learn why certain approaches toa particular problem actually work or if it was just a coincidence. E.g. it would have helped to introduce the PAST model after the firstgroup negotiation to give the students some tries in implementing it while not wasting too much time on unstructured arguments.Similarily while it was good to learn about some background concepts and techniques that play a role, it would be great to get someframeworks and as above, structured approaches that help in conducting the negotiations to avoid getting lost in trying toimplement certain strategies at certain points in real\xe2\x80\x93life negotiations. E.g. if one does not have a benchmark of how an efficient,structured negotiation can work it is easy to get lost in details and in having to react to the other party's strategies.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b'Professor Radhakrishnan made herself readily available to students outside of class hours.Syllabus was locked on Quercus from the 1st day ... no formal documentation of course policies or assistance provided outside ofclass (if any). No office hours communicated.TA was helpful with feedback and professor gave thorough debriefs at the end of the caseThe slides were only of moderate use, it might help to get a uniform layout that helps to keep track of the structure of the lecture.Also, the information conveyed was limited. Additionally, I personally did not have the feeling that an understanding of the theoreticalconcepts from the lecture helped in the midterm or final exam as it was almost impossible to obtain a full mark on any givenquestion, regardless of what was answered. The final was also somewhat short in time compared to the required answers to thequestions.The readings were interesting and mostly helpful in understanding the course material.'"
Negotiation Skills,UTSC,Fall_2018,LEC30,22,9,4.6,4.7,4.8,4.6,4.8,4.6,4.8,3.6,4.7,5,5,5,5,5,5,5,5,5,5,5,5,0.5,0.5,0.4,0.7,0.4,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Radhakrishnan provided a very hands\xe2\x80\x93on experience in this course, allowing us to learn from theoretical concepts and applyingthem to practical negotiations every week. This was helpful in learning and becoming familiar with the key concepts (i.e. learning bydoing).The prof encouraged students to take leadership in the course and initiate the negotiation.It was very well organized as each week's lessons built on each other. It definitely helped me to access and learn overall what Ineeded to learnVery engaging professor and very methodical in her way of teaching.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b'Professor before and after lecture, during breaks, throughout class, office hours.The prof encouraged students to speak with her regarding how to improve our studying habits for the final.The different avaliabilities that the professor had were very goodAll the documents were online so very useful.'"
Organizational Behaviour,UTSC,Fall_2019,LEC02,63,17,2.8,2.8,2.9,2.5,2.4,2.3,2.3,3.3,2.6,3,3,3,2,2,2,2,2,"3,4",2,2,3,1.2,1.1,1.1,1,0.9,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""I am lost in the class.Prof. Phani's lecture content was all over the place. I assume that she has not changed her teaching style over the past years. It wasreally frustrating following the concepts during her lectures, I became unmotivated to come to class because I did not understandher teaching, so I relied heavily on self\xe2\x80\x93study. I did not enjoy having to present in front of a camera, I did not consent to be filmed forthe group presentation and having it available to the rest of 80 students. This course was really frustrating to handle.Professor R clearly demonstrated her knowledge and expertise in organizational behavior. For the most part, the class atmospherewas very open to discussion which helped facilitate learning. I would have liked to see more supplemental work to help solidify theconcepts we learned (e.g. weekly practice questions). The midterm questions were also very ambiguous in their wording whichmade it hard to demonstrate that I understood the concepts presented in class. That being said, overall Dr. R was a great profThe instructor does not listen to students' questions and opinions. The professor only cares that every student needs to take in heropinion. Although she pretends to encourage everyone to speak in the class, she often just refute the student and say that it's justsupposed to be what she says in the class. She also does not give clear instructions for any assignments. The grading ofassignments is also graded by very generalized scales and the feedback often has criteria that were not in the task description. Shewanted us to tasks that she believe is useful for the career, but the fact that she is super restricted towards everything just killed anypossibilities. Everything happened in this course was a huge confusion. The main reason is due to the professor. She even suggested one of my friends in dropping the course. I believe this is not what Iwanted for in such a high ranked university. I highly regret taking this course with this professor. I believe my first exposure to theHuman Resources stream could be made better if it is taught by other professors. Now, I just hate human resources and killed allmy interests in going into this stream. I hope no one needs to suffer through this instructor again.The quality of the course is good.Instruction was good. Professor was always there when there was needed extra explaining.I was treated like an elementary school child\xe2\x80\x93 Teaching style was helpful, but at times inconvenient\xe2\x80\x93 Weekly reflections were useful for extra credit\xe2\x80\x93 Content could've been delivered in a more organized mannerI kinda don't get the point doing the assignment or the presentation. The teaching on how to do the assignment was grosslyinadequate. Also more simple slides!!!!it was clearThe instructor tries to encourage students to participate in group activities and encourages new ways of learning in the class, butshe is not at all clear with her instructions. The more she tries to explain and clear doubts the more confusing it gets to understandwhat we need to do.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b""Professor's video call.I relied mostly on self\xe2\x80\x93study because there is no way in determining that my answers for journal and reflections were correct. Shegave hints during lectures in answering questions on her slides but did not provide a distinct answer, for actually understanding theconcept. I was very confused most of the time, it was terrible. Due to time constraints and an extremely busy schedule, I could notspeak to her in person. I would have prefered if she talked about the answers to the questions she posted on the slides during thelecture.On the course description, TA was supposed to host OH ofter assignment was handed back, but that never happened.The course material can be describe more clearly by the instructor and assistance.Assistance was always available and the lecture material was always posted online.Office hoursN/An/acould be more organizedThe course does not have any tutorials, but the professor is more than happy to help in any assistance."""
Negotiation Skills,UTSC,Fall_2017,LEC30,12,7,4.6,4.6,4.6,4.3,4.1,4.3,4.3,3.4,4.3,5,5,5,5,5,5,5,5,5,5,5,5,1.1,1.1,1.1,1.1,1.2,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'No clear grounds for what will be tested on the exam or what is expected out of the studentGreat course, interesting content, easy works, challenging open\xe2\x80\x93ended questions, connected to real life. This is theBEST course i have taken in UTSC so far.Great class! amazing professor, made the course really enjoyable.Really great, the weekly role plays were extremely beneficial to my learning as were the subsequent lectures.8. Please comment on any assistance that was available to support your learning in thiscourse.'",b'CommentsThe course load excessively high with no learning objectiveWe had an outside guest speaker came to our lecture once. was interesting and helpful.Reading materialsEmail.Business Negotiation Negotiation Skills-F-LEC30-Phanikiran Radhakrishnan-12/4/20174/15   '
Leadership Skills,UTSC,Winter_2013,LEC03,[],[],4.6,4.6,4.6,4.3,4.1,4.3,4.3,3.4,4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""b'No clear grounds for what will be tested on the exam or what is expected out of the studentGreat course, interesting content, easy works, challenging open\\xe2\\x80\\x93ended questions, connected to real life. This is theBEST course i have taken in UTSC so far.Great class! amazing professor, made the course really enjoyable.Really great, the weekly role plays were extremely beneficial to my learning as were the subsequent lectures.8. Please comment on any assistance that was available to support your learning in thiscourse.'""","b""b'CommentsThe course load excessively high with no learning objectiveWe had an outside guest speaker came to our lecture once. was interesting and helpful.Reading materialsEmail.Business Negotiation Negotiation Skills-F-LEC30-Phanikiran Radhakrishnan-12/4/20174/15   '"""
Compensation,UTSC,Fall_2018,LEC01,8,4,3.5,3.3,3.8,3.3,3.3,3,3.3,3.5,3.3,3.5,3,4,3,3,3,"2,3,4,5",2,5,2,2,"1,2,4,5",1.3,1.5,1.5,1.5,1.5,1.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'The overall quality of the instruction in this course is truly phenomenal. You can tell Professor Radhakrishnan demonstrates apassion for teaching and inspiring her students to reach their full potential. Providing relevant real world examples to the materialshe teaches. Going above and beyond to exceed expectations as a ""typical"" university professor. One of the very few classes that Igenuinely enjoyed attending and looked forward to week over week. Working full time and continuing my post secondary educationpart time really takes a toll on you physically and mentally but she really makes the learning experience enjoyable! \xe2\x80\x93RajinKalatharan8. Please comment on any assistance that was available to support your learning in this course.Comments'","b'Office Hours, In\xe2\x80\x93Class, WebOption, Adequate time for Assignments/Projects'"
Organizational Behaviour,UTSC,Fall_2017,LEC03,60,15,3.3,3.5,3.6,3.2,3.1,3.2,3.3,3.2,3.4,3,3.5,4,3,3,3,3,3,4,3,"3,","3,4",1.1,1.2,1.2,1.1,,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'instruction was moderately clear most of the timegoodShe was great!Very fast\xe2\x80\x93paced and students aren\'t ever given feedbackThe assignment did not teach me anything. If i wanted to learn how to read a journal, which I already do, i would takethe course about literacy. The assignment and the presentation were the same thing being read a journal andsummarize your findings. None of this taught me anything about managing people and groups in organizations. Sure,the lecture were somehow applicable but the professor only want the answers to be provided her way. ""Comparecontrast personality and attitude"" How is one even supposed to answer to that? I swear all of my classmates wereconfused and I never heard anyone say anything good about this. She made this dumb exercise about managing people and ask students to give her 1$ which I heard some kids didn\'tget it back from some other lectures. 1. don\'t get money involved, this is a university. 2. it started getting pretty big of afight and people yelling at each other and someone literally came to me and said ""I want to throw a chair at this person""The prof was there, did she intervene to ensure everyone stays calm? no. She just let it escalate. Honestly sure she\'s good a teaching but making a curriculum and planning lectures, shes the worst, She doesn\'t gothrough all of her slides and is a little messy. Don\'t let her write the curriculum or assignments anymore. I don\'t knowanyone who learned something from that dumb assignment and presentation. First thing she does when she comes in lecture is brag about herself and assumes that everyone is in management.Does she know her course is a program requirement to other unrelated programs? My friend is in computer scienceand all she says in class all day long "" we are all management students and want to be CEO\'s right? "". The only thing she did that was good was lead the lectures and i will be honest shes good at explaining concepts butreally, this was by far one of the worst profs I have ever seen. Let me talk about this journal thing. Every end of lecture we have to answer some questions that she gives in class. Andhonestly, why are we even doing that? She answers them in class. She assumes everyone has a computer and willbring a computer to class. Does she knwo how heavy a computer is? And I don\'t have time to go take a picture, send itto my facebook, go to library, download the picture, upload it to the journal entry and send it. If she really wants this,accept soft copy. And at the end of the lecture I feel like it was a waste of time, we didnt even get feedback on them andshe asks on the last lecture if she can use it for her research. Uhm did you ask us to do this for your research or for ourlearning or what?the amount of coursework is fairly distributedgoodOverall, I learned a lot in this course. Everything was interesting.The assignments provided a focus on the appendix aspect of the textbook. Due to this, I feel the assignments were notrelevant to key course material. Assignment rubrics were not clear and assignments were overly and unnecessarily complicated.The lectures and the activities in the lecture were very engaging and fun.ExcellentManage People & Grps in Orgs Organizational Behaviour-F-LEC03-Phanikiran Radhakrishnan-12/4/20174/16   8. Please comment on any assistance that was available to support your learning in thiscourse.'","b""Commentsassistance was goodProf was helpfulGreat support during her office hours!There was none.What support? All she always says is email me. I dont like emailing I want to talk face to face and not have to wait a dayfor a reply. So accessible hell yeah. Midterms were only pickable after the end of the course? And only on that one day?it's good that there are videos taken of all the classesgoodCommunicating with the professor and TAs during office hours and through emails.nsExcellentManage People & Grps in Orgs Organizational Behaviour-F-LEC03-Phanikiran Radhakrishnan-12/4/20175/16   """
Organizational Behaviour,UTSC,Fall_2017,LEC02,62,21,3.6,3.6,3.9,3.7,3.8,3.3,3.5,3.3,3.4,4,4,4,4,4,3,4,4,3,4,4,3,0.9,1,0.9,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""When she's teaching all she does is read off her slides and they aren't very clear either. If not for the 5% participationmark I wouldn't even show up to class because again its just reading off slides I can do that at home. The groupactivities she does doesn't teach us anything either.Professor didn't teach all materials and the lecture notes aren't clear. She always end class early, most of material Ilearned is from textbook.\xe2\x80\x93The powerpoint presentations were confusing as it didn't match the lesson pace.It was good.lots of explanations and engagement, participation opportunities, interesting learning not just powerpoint notes butvideos and activitiesProfessor sometimes goes through the content too fast to the point that students don't retain the knowledge after class.But class activities are fun and help students understand conceptsThe instruction in this course could have been better, when it came to how the professor wanted us to do on the essayand group project she could have explained it better.It seemed like the course was often heavily focused on research for some reason. It was mainly following the textbook,however, we had several assignments based on research and things related to that which was not what I had hopedfor. Overall, the course had some great in\xe2\x80\x93class activities, however, compared to my other courses was the leastintellectually stimulating or interesting.Well instructed, sometimes too fast.Professor Radhakrishnan was amazing. I looked forward to attending every class. I appreciate the use of journals asthey help to prepare for final exams. Thank you, professor.Dr. P is brilliant and has a very good teaching style. love the way she incorporates the content of the course in how sheteaches as well. I think that goes very deep.8. Please comment on any assistance that was available to support your learning in thiscourse.""","b""CommentsMake better clear lecture notes and teach more stuff\xe2\x80\x93The prof was there if we had questions.too much work during the class that I could not concentrate on the lecture itselfread the textbookIn person office hours, virtual office hours, and email were availableThere should have been tutorials held for this course, it would have been very beneficial.Office hours, ta help.Various resources online, blackboard, the professor.Prof. P provided a lot of resources for every assessment. Greatly appreciated!I normally enjoy walking in to office hours but it's hard to pre book and attend so I failed to benefit from them.Manage People & Grps in Orgs Organizational Behaviour-F-LEC02-Phanikiran Radhakrishnan-12/4/20174/15   """
